state,Location,Lat,Long,Intersting 
AL,Acmar,33.584132,-86.51557,3
AL,Adamsville,33.588437,-86.959727,26
AL,Adger,33.434277,-87.167455,15
AL,Keystone,33.236868,-86.812861,21
AL,New Site,32.941445,-85.951086,15
AL,Alpine,33.331165,-86.208934,7
AL,Arab,34.328339,-86.489638,9
AL,Baileyton,34.268298,-86.621299,13
AL,Bessemer,33.409002,-86.947547,30
AL,Hueytown,33.414625,-86.999607,27
AL,Blountsville,34.092937,-86.568628,27
AL,Bremen,33.973664,-87.004281,23
AL,Brent,32.93567,-87.211387,23
AL,Brierfield,33.042747,-86.951672,19
AL,Calera,33.1098,-86.755987,20
AL,Centreville,32.950324,-87.11924,9
AL,Chelsea,33.371582,-86.614132,1
AL,Coosa Pines,33.266928,-86.337622,2
AL,Clanton,32.835532,-86.642472,21
AL,Cleveland,33.992106,-86.559355,7
AL,Columbiana,33.176964,-86.616145,30
AL,Crane Hill,34.082117,-87.048395,25
AL,Cropwell,33.506448,-86.280026,28
AL,Cullman,34.176146,-86.829777,1
AL,Dolomite,33.465424,-86.956435,13
AL,Dora,33.734947,-87.040148,1
AL,Empire,33.825589,-87.016139,26
AL,Fairfield,33.473494,-86.918262,9
AL,Coalburg,33.611283,-86.813614,16
AL,Gardendale,33.71891,-86.822481,15
AL,Goodwater,33.074642,-86.078149,13
AL,Alden,33.63356,-86.948221,28
AL,Hanceville,34.051569,-86.784844,19
AL,Harpersville,33.36746,-86.429441,6
AL,Hayden,33.885806,-86.81767,30
AL,Helena,33.316978,-86.813786,4
AL,Holly Pond,34.190085,-86.617441,13
AL,Jemison,32.980539,-86.718052,22
AL,Joppa,34.283739,-86.551939,27
AL,Kellyton,32.979068,-86.048397,7
AL,Kimberly,33.768355,-86.808417,23
AL,Leeds,33.528333,-86.574824,30
AL,Lincoln,33.605913,-86.111152,22
AL,Logan,34.184079,-87.038115,1
AL,Mc Calla,33.284546,-87.102379,18
AL,Maylene,33.231694,-86.872745,10
AL,Montevallo,33.124765,-86.862228,4
AL,Morris,33.739172,-86.772551,21
AL,Mount Olive,33.67678,-86.87171,7
AL,Sylvan Springs,33.540696,-87.043998,14
AL,Odenville,33.675611,-86.408952,3
AL,Oneonta,33.925858,-86.474118,19
AL,Indian Springs,33.31046,-86.806176,13
AL,Pell City,33.597889,-86.343151,22
AL,Dixiana,33.708131,-86.656542,6
AL,Pleasant Grove,33.488336,-86.976586,26
AL,Quinton,33.656065,-87.10066,10
AL,Ragland,33.736677,-86.1619,2
AL,Remlap,33.846204,-86.641662,6
AL,Riverside,33.608832,-86.198341,12
AL,Rockford,32.877957,-86.240006,12
AL,Shelby,33.078483,-86.553606,9
AL,Springville,33.738647,-86.439407,21
AL,Sterrett,33.446103,-86.491732,28
AL,Sumiton,33.768005,-87.044545,25
AL,Sylacauga,33.171675,-86.271257,3
AL,Talladega,33.435445,-86.113352,1
AL,Thorsby,32.923755,-86.746724,29
AL,Trafford,33.819038,-86.743414,7
AL,Trussville,33.633932,-86.598068,12
AL,Union Grove,34.409345,-86.462793,23
AL,Vandiver,33.480704,-86.501278,23
AL,Vincent,33.401049,-86.399425,3
AL,Vinemont,34.262121,-86.912512,3
AL,Warrior,33.852862,-86.819849,22
AL,Weogufka,33.02381,-86.304203,8
AL,West Blocton,33.142431,-87.13694,16
AL,Wilsonville,33.229255,-86.529894,4
AL,Woodstock,33.169808,-87.163469,19
AL,Birmingham,33.520994,-86.806626,96
AL,Birmingham,33.51795,-86.837198,96
AL,Birmingham,33.495144,-86.805937,96
AL,Birmingham,33.567797,-86.719854,96
AL,Birmingham,33.559383,-86.815344,96
AL,Birmingham,33.497658,-86.879884,96
AL,Homewood,33.469624,-86.806738,14
AL,Irondale,33.532797,-86.685697,18
AL,Birmingham,33.481565,-86.85904,96
AL,Birmingham,33.540883,-86.749524,96
AL,Crestline Height,33.508195,-86.742108,3
AL,Birmingham,33.555445,-86.886989,6
AL,Center Point,33.635447,-86.693197,3
AL,Vestavia Hills,33.41531,-86.790425,7
AL,Birmingham,33.5887,-86.764995,9
AL,Birmingham,33.505972,-86.892993,18
AL,Birmingham,33.452316,-86.893493,8
AL,Birmingham,33.521859,-86.766579,12
AL,Mountain Brook,33.488726,-86.736584,16
AL,Birmingham,33.519126,-86.934193,3
AL,Bluff Park,33.403675,-86.831257,7
AL,Midfield,33.462446,-86.914703,11
AL,Birmingham,33.506161,-86.800257,5
AL,Birmingham,33.53775,-86.80685,15
AL,Center Point,33.618045,-86.661051,2
AL,Shoal Creek,33.401559,-86.705511,11
AL,Cahaba Heights,33.446053,-86.743676,3
AL,Hoover,33.371776,-86.776381,13
AL,Tuscaloosa,33.196891,-87.562666,6
AL,Holt,33.210914,-87.488079,3
AL,Tuscaloosa,33.161704,-87.514435,14
AL,Tuscaloosa,33.272174,-87.536035,18
AL,Stewart,32.872354,-87.708558,16
AL,Aliceville,33.122813,-88.166689,6
AL,Boligee,32.774646,-88.026652,20
AL,Brookwood,33.277523,-87.309025,19
AL,Buhl,33.249448,-87.718886,14
AL,Carrollton,33.248506,-88.132122,12
AL,Coker,33.252612,-87.636528,17
AL,Cottondale,33.176667,-87.387051,3
AL,Duncanville,33.082815,-87.494977,4
AL,Echola,33.316559,-87.807202,11
AL,Elrod,33.343678,-87.801429,22
AL,Emelle,32.754963,-88.305747,12
AL,Epes,32.763371,-88.161443,3
AL,Ethelsville,33.386816,-88.221987,9
AL,Eutaw,32.888871,-87.930297,3
AL,Fosters,33.135859,-87.735688,20
AL,Gainesville,32.908364,-88.271558,16
AL,Gordo,33.346917,-87.900504,20
AL,Knoxville,32.982423,-87.791855,8
AL,Coatopa,32.588509,-88.173592,17
AL,Cypress,32.978853,-87.615134,17
AL,Northport,33.283425,-87.591441,9
AL,Ralph,33.062868,-87.744984,17
AL,Reform,33.395945,-88.020277,7
AL,Vance,33.17498,-87.257362,23
AL,Jasper,33.871672,-87.249144,2
